4.713333984375010004e+03  4.338811523437500000e+03  5.094234671847152640e+01
4.713379983211243598e+03  4.361812988281250000e+03  5.103786186033721606e+01
4.713425982047476282e+03  4.429211425781250000e+03  5.139403610116914933e+01
4.713471980883709875e+03  4.442146972656250000e+03  5.148324750360779944e+01
4.713517979719942559e+03  4.363962402343750000e+03  5.109405508891995851e+01
4.713563978556176153e+03  4.243680664062500000e+03  5.046101777792046050e+01
4.713609977392408837e+03  4.126575195312500000e+03  4.980886630634176981e+01
4.713655976228642430e+03  4.038451660156250000e+03  4.931530690910994963e+01
4.713701975064876024e+03  3.965049804687500000e+03  4.885605952321293444e+01
4.713747973901108708e+03  3.828932617187500000e+03  4.801837217240972677e+01
4.713793972737342301e+03  3.550627929687500000e+03  4.637842865042512130e+01
4.713839971573574985e+03  3.171862304687500000e+03  4.411805896094756463e+01
4.713885970409808579e+03  2.813898681640625000e+03  4.175508370122361157e+01
4.713931969246042172e+03  2.567207519531250000e+03  3.990470736595716517e+01
4.713977968082274856e+03  2.462231445312500000e+03  3.903266555339541810e+01
4.714023966918508449e+03  2.482547607421875000e+03  3.914350417720470432e+01
4.714069965754741133e+03  2.528077636718750000e+03  3.947024727139796596e+01
4.714115964590974727e+03  2.422702636718750000e+03  3.879331623038979160e+01
4.714161963427207411e+03  2.156015136718750000e+03  3.692456083047363791e+01
4.714207962263441004e+03  1.870024658203125000e+03  3.457607265713113520e+01
4.714253961099674598e+03  1.717743774414062500e+03  3.327867185524814886e+01
4.714299959935907282e+03  1.799002685546875000e+03  3.422291611619357354e+01
4.714345958772140875e+03  2.165942871093750000e+03  3.742402179333930690e+01
4.714391957608373559e+03  2.601438476562500000e+03  4.057838582523527293e+01
4.714437956444607153e+03  3.025490722656250000e+03  4.336248880008042761e+01
4.714483955280839837e+03  3.368950927734375000e+03  4.542925061293294675e+01
4.714529954117073430e+03  3.525936523437500000e+03  4.634604409772873623e+01
4.714575952953307024e+03  3.568742675781250000e+03  4.660748280480902395e+01
4.714621951789539708e+03  3.559601074218750000e+03  4.651595134285616950e+01
4.714667950625773301e+03  3.512295898437500000e+03  4.622771046051184385e+01
4.714713949462005985e+03  3.478466552734375000e+03  4.605153205104602421e+01
4.714759948298239578e+03  3.527089111328125000e+03  4.634143566465832009e+01
4.714805947134473172e+03  3.612014648437500000e+03  4.686803906826480670e+01
4.714851945970705856e+03  3.657720703125000000e+03  4.715639270483734435e+01
4.714897944806939449e+03  3.732202636718750000e+03  4.757760904913720879e+01
4.714943943643172133e+03  3.795028320312500000e+03  4.791100777692554402e+01
